"OldName","NewName","Category","Date"
"-在一个永远不会成为黑夜的黄昏沉醉.md","ESSAY-1--在一个永远不会成为黑夜的黄昏沉醉.md","ESSAY","0000-00-00"
"在具体的职场打捞灵魂.md","ESSAY-2-在具体的职场打捞灵魂.md","ESSAY","2024-01-20"
"有褶皱的幸福.md","ESSAY-3-有褶皱的幸福.md","ESSAY","2024-12-31"
"4-文化资本决定我的阶级身份.md","ESSAY-4-文化资本决定我的阶级身份.md","ESSAY","2025-01-11"
"12-disco elysium.md","ESSAY-5-disco elysium.md","ESSAY","2025-03-27"
"14-海女.md","ESSAY-6-海女.md","ESSAY","2025-04-05"
"19-妈妈岗影响的不只是妈妈.md","ESSAY-7-妈妈岗影响的不只是妈妈.md","ESSAY","2025-06-10"
"7-劳动者的“说谎权”.md","LAW-1-劳动者的“说谎权”.md","LAW","0000-00-00"
"Antitrustia连锁医院的反竞争行为.md","LAW-2-Antitrustia连锁医院的反竞争行为.md","LAW","0000-00-00"
"快速检视的原罪.md","LAW-3-快速检视的原罪.md","LAW","0000-00-00"
"商业纠纷中的调解.md","LAW-4-商业纠纷中的调解.md","LAW","0000-00-00"
"域外调解面面观：看得见的制度和看不见的人性.md","LAW-5-域外调解面面观：看得见的制度和看不见的人性.md","LAW","0000-00-00"
"自愿性和确定性：关于UNCITRAL调解条款说明的反思.md","LAW-6-自愿性和确定性：关于UNCITRAL调解条款说明的反思.md","LAW","0000-00-00"
"日本消费税.md","LAW-7-日本消费税.md","LAW","2023-10-13"
"游戏上线后优化技能表述会构成虚假宣传吗？.md","LAW-8-游戏上线后优化技能表述会构成虚假宣传吗？.md","LAW","2023-10-19"
"广告涉军问题.md","LAW-9-广告涉军问题.md","LAW","2023-11-02"
"游戏公司可以在自己的活动中使用“ゲットだぜ”吗？.md","LAW-10-游戏公司可以在自己的活动中使用“ゲットだぜ”吗？.md","LAW","2023-11-07"
"游戏广告合规自查手册.md","LAW-11-游戏广告合规自查手册.md","LAW","2023-11-15"
"同人集会官方怎么写免责声明.md","LAW-12-同人集会官方怎么写免责声明.md","LAW","2023-11-20"
"MCN资质对接问题与法律梳理.md","LAW-13-MCN资质对接问题与法律梳理.md","LAW","2023-11-27"
"冒充未成年人恶意退款问题.md","LAW-14-冒充未成年人恶意退款问题.md","LAW","2023-12-02"
"虚假广告与欺诈问题.md","LAW-15-虚假广告与欺诈问题.md","LAW","2023-12-02"
"日本游戏充值行为申报（备案）.md","LAW-16-日本游戏充值行为申报（备案）.md","LAW","2023-12-03"
"未成年人网络保护条例》合规亮点.md","LAW-17-未成年人网络保护条例》合规亮点.md","LAW","2023-12-09"
"微信小程序（含小游戏）备案.md","LAW-18-微信小程序（含小游戏）备案.md","LAW","2023-12-11"
"游戏公司员工离职后泄露内部充值福利.md","LAW-19-游戏公司员工离职后泄露内部充值福利.md","LAW","2023-12-11"
"网络游戏版号审批.md","LAW-20-网络游戏版号审批.md","LAW","2023-12-15"
"人工智能在网络游戏中的应用.md","LAW-21-人工智能在网络游戏中的应用.md","LAW","2023-12-19"
"游戏玩法的著作权保护.md","LAW-22-游戏玩法的著作权保护.md","LAW","2023-12-20"
"《互联网广告管理办法》合规要点.md","LAW-23-《互联网广告管理办法》合规要点.md","LAW","2023-12-22"
"国内游戏公司停止运营国际服可以删除数据吗？.md","LAW-24-国内游戏公司停止运营国际服可以删除数据吗？.md","LAW","2024-01-03"
"游戏内语音系统合规要点.md","LAW-25-游戏内语音系统合规要点.md","LAW","2024-01-03"
"玩家想在番茄小说创作同人文.md","LAW-26-玩家想在番茄小说创作同人文.md","LAW","2024-01-11"
"虚拟道具、虚拟币以及法定货币问题.md","LAW-27-虚拟道具、虚拟币以及法定货币问题.md","LAW","2024-01-11"
"游戏内举报系统合规要点.md","LAW-28-游戏内举报系统合规要点.md","LAW","2024-01-15"
"主流游戏厂商注销账号流程.md","LAW-29-主流游戏厂商注销账号流程.md","LAW","2024-01-15"
"新《公司法》法规解读.md","LAW-30-新《公司法》法规解读.md","LAW","2024-01-25"
"射击游戏广告可以出现准星倒地流血吗.md","LAW-31-射击游戏广告可以出现准星倒地流血吗.md","LAW","2024-01-29"
"为什么不能全球同服？.md","LAW-32-为什么不能全球同服？.md","LAW","2024-02-04"
"游戏内单个道具定价是否需要公示.md","LAW-33-游戏内单个道具定价是否需要公示.md","LAW","2024-02-09"
"网络游戏概率公示问题.md","LAW-34-网络游戏概率公示问题.md","LAW","2024-02-12"
"在日韩能否开展游戏账号角色交易.md","LAW-35-在日韩能否开展游戏账号角色交易.md","LAW","2024-02-14"
"上海市重刻公章指南.md","LAW-36-上海市重刻公章指南.md","LAW","2024-02-20"
"游戏退款结算时如何合规扣除虚拟币.md","LAW-37-游戏退款结算时如何合规扣除虚拟币.md","LAW","2024-02-28"
"词库版广告素材风险自查.md","LAW-38-词库版广告素材风险自查.md","LAW","2024-03-01"
"网络游戏虚拟货币资质办理.md","LAW-39-网络游戏虚拟货币资质办理.md","LAW","2024-03-01"
"网络游戏资质问题.md","LAW-40-网络游戏资质问题.md","LAW","2024-03-13"
"网络文化经营许可证年报填写指南.md","LAW-41-网络文化经营许可证年报填写指南.md","LAW","2024-03-15"
"配偶担任法定代表人的公司若遇危机.md","LAW-42-配偶担任法定代表人的公司若遇危机.md","LAW","2024-03-20"
"35-文网文填报.md","LAW-43-文网文填报.md","LAW","2024-03-21"
"玩家想制作游戏周边.md","LAW-44-玩家想制作游戏周边.md","LAW","2024-03-23"
"意大利《文化遗产和景观法规》解读.md","LAW-45-意大利《文化遗产和景观法规》解读.md","LAW","2024-03-26"
"联名营销从乐乐茶鲁迅事件看授权红线.md","LAW-46-联名营销从乐乐茶鲁迅事件看授权红线.md","LAW","2024-04-05"
"常用素材网站版权限制与合规要点.md","LAW-47-常用素材网站版权限制与合规要点.md","LAW","2024-04-15"
"日本游戏发行抽卡合规要点.md","LAW-48-日本游戏发行抽卡合规要点.md","LAW","2024-04-15"
"游戏中的伤害数值能否简写？.md","LAW-49-游戏中的伤害数值能否简写？.md","LAW","2024-04-28"
